State,District,FirstLastP,Party,Raised,Spent,Difference,Outcome,Winner,CRPICO
Alabama,1,Jerry Carl (R),R,1971321.5,1859348.91,111972.59000000008,W,1,O
Alabama,1,James Averhart (D),D,80094.95,78973.24,1121.7099999999919,L,0,O
Alabama,2,Barry Moore (R),R,650806.75,669367.7000000001,-18560.95000000007,W,1,O
Alabama,2,Phyllis Harvey-Hall (D),D,56049.68,55988.07000000001,61.609999999993306,L,0,O
Alabama,3,Mike D Rogers (R),R,1193111.4300000002,1218563.76,-25452.32999999984,W,1,I
Alabama,3,Adia Winfrey (D),D,50273.2,40971.09,9302.11,L,0,C
Alabama,4,Robert B Aderholt (R),R,1255076.11,1323812.08,-68735.96999999997,W,1,I
Alabama,5,Mo Brooks (R),R,655364.7999999999,210045.13,445319.6699999999,W,1,I
Alabama,6,Gary Palmer (R),R,907218.78,909082.2,-1863.4199999999255,W,1,I
Alabama,7,Terri Sewell (D),D,2168165.01,1495957.14,672207.8699999999,W,1,I
Alaska,1,Don Young (R),R,1922901.19,1790448.12,132453.06999999983,W,1,I
Alaska,1,Alyse Galvin (I),I,5178452.0200000005,5088103.41,90348.61000000034,L,0,C
Arizona,1,Tom O'Halleran (D),D,3381353.45,3324138.19,57215.26000000024,W,1,I
Arizona,1,Tiffany Shedd (R),R,1675618.0599999998,1615704.39,59913.669999999925,L,0,C
Arizona,2,Ann Kirkpatrick (D),D,1849861.51,1384764.75,465096.76,W,1,I
Arizona,2,Brandon Martin (R),R,374820.5500000001,381067.07,-6246.519999999902,L,0,C
Arizona,3,Raul M Grijalva (D),D,843559.9,655506.97,188052.93000000005,W,1,I
Arizona,3,Daniel Wood (R),R,41422.39,41961.8,-539.4100000000035,L,0,C
Arizona,4,Paul Gosar (R),R,622151.0700000001,729891.81,-107740.73999999999,W,1,I
Arizona,4,Delina DiSanto (D),D,77167.5,79757.81,-2590.3099999999977,L,0,C
Arizona,5,Andy Biggs (R),R,1602181.1700000002,1236379.82,365801.3500000001,W,1,I
Arizona,5,Joan Greene (D),D,356068.52,209789.14,146279.38,L,0,C
Arizona,6,David Schweikert (R),R,2265328.77,2249979.11,15349.660000000149,W,1,I
Arizona,6,Hiral Tipirneni (D),D,6301073.430000001,6366702.47,-65629.0399999991,L,0,C
Arizona,6,Tom Lewellen (I),I,11684.7,10999.54,685.1599999999999,L,0,C
Arizona,7,Ruben Gallego (D),D,1811753.93,1653960.74,157793.18999999994,W,1,I
Arizona,7,Josh Barnett (R),R,28093.0,17882.67,10210.330000000002,L,0,C
Arizona,8,Debbie Lesko (R),R,1605245.43,987453.17,617792.2599999999,W,1,I
Arizona,8,Michael Muscato (D),D,357905.84,347734.22,10171.620000000054,L,0,C
Arizona,9,Greg Stanton (D),D,2001619.38,1001350.17,1000269.2099999998,W,1,I
Arizona,9,Dave Giles (R),R,130480.29,129934.54,545.75,L,0,C
Arkansas,1,Rick Crawford (R),R,966801.25,1095517.53,-128716.28000000003,W,1,I
Arkansas,2,French Hill (R),R,3384489.66,3020490.93,363998.73,W,1,I
Arkansas,2,Joyce Elliott (D),D,3482463.03,3478733.18,3729.8499999996275,L,0,C
